symbol,strategy,timeFrame,signalDate,entryPrice,rsiDaily,rsiWeekly,rsiMonthly,volume,pattern,return5D,return10D,return20D,return40D,maxDrawdown,maxGain,outcome
MOM30IETF,RSITTF,D,2022-12-14,20.59,35.75,65.52,88.00,6369,,-3.35,-4.81,-6.22,-9.32,-13.31,15.10,Loss
ATGL,RSITTF,D,2022-12-15,3550.75,44.65,63.24,80.16,268896,,0.02,6.82,2.77,-66.41,-74.01,12.65,Loss
SBIN,RSITTF,D,2022-12-22,593.40,43.04,67.20,70.94,8739896,,3.10,1.97,-0.60,-10.52,-15.85,4.58,Loss
GANECOS,RSITTF,D,2022-12-26,873.35,44.40,60.79,75.39,46070,,5.94,3.65,1.60,-3.95,-6.11,8.78,Win
PONNIERODE,RSITTF,D,2023-02-02,440.70,44.80,63.17,74.64,71842,,2.86,9.72,-1.75,-7.24,-17.95,14.77,Win
SHRIPISTON,RSITTF,D,2023-02-03,575.00,44.15,62.82,69.71,1292,,11.57,4.26,-1.19,-5.94,-14.63,18.17,Win
FACT,RSITTF,D,2023-02-06,276.10,43.03,61.86,67.58,571493,,-5.87,-12.73,-9.09,-20.25,-30.46,27.42,Loss
JBMA,RSITTF,D,2023-02-08,248.80,43.66,62.53,69.31,342020,,5.96,13.22,25.70,49.17,-2.94,64.57,Loss
JWL,RSITTF,D,2023-02-13,99.05,44.96,61.42,86.13,313799,,0.56,-6.41,-2.37,-1.36,-13.98,8.38,Loss
DATAPATTNS,RSITTF,D,2023-02-22,1286.75,44.11,63.67,68.19,374275,,3.90,3.01,8.56,27.90,-8.37,35.88,Loss
KPITTECH,RSITTF,D,2023-04-05,815.75,44.83,75.56,81.24,13318958,,6.54,4.04,8.26,36.76,-6.44,42.20,Loss
SOMATEX,RSITTF,D,2023-04-13,28.70,41.40,61.41,82.95,450625,,-22.30,-33.62,-20.73,-5.40,-45.30,4.53,Loss
